0.0042044-0.00018049i,0.0042086-0.00018048i,0.0042126-0.00018047i,0.0042164-0.00018046i,0.0042199-0.00018046i,0.0042232-0.00018045i,0.0042263-0.00018044i,0.0042294-0.00018043i,0.0042323-0.00018042i,0.0042351-0.00018041i,0.0042378-0.0001804i,0.0042404-0.0001804i,0.004243-0.00018039i,0.0042455-0.00018038i,0.0042479-0.00018037i,0.0042503-0.00018036i,0.0042525-0.00018035i,0.0042548-0.00018035i,0.004257-0.00018034i,0.0042591-0.00018033i,0.0042612-0.00018032i,0.0042633-0.00018031i,0.0042653-0.0001803i,0.0042673-0.0001803i,0.0042693-0.00018029i,0.0042712-0.00018028i,0.0042731-0.00018027i,0.0042749-0.00018027i,0.0042768-0.00018026i,0.0042786-0.00018025i,0.0042804-0.00018024i,0.0042821-0.00018024i,0.0042839-0.00018023i,0.0042855-0.00018022i,0.0042873-0.00018021i,0.0042889-0.00018021i,0.0042906-0.0001802i,0.0042922-0.00018019i,0.0042938-0.00018018i,0.0042954-0.00018018i,0.0042969-0.00018017i,0.0042984-0.00018016i,0.0043-0.00018016i,0.0043015-0.00018015i,0.004303-0.00018014i,0.0043045-0.00018013i,0.004306-0.00018013i,0.0043074-0.00018012i,0.0043089-0.00018011i,0.0043103-0.00018011i
0.0042217-0.00012401i,0.004226-0.00012401i,0.00423-0.00012401i,0.0042337-0.00012402i,0.0042372-0.00012402i,0.0042405-0.00012402i,0.0042437-0.00012402i,0.0042467-0.00012402i,0.0042496-0.00012402i,0.0042524-0.00012401i,0.0042551-0.00012401i,0.0042578-0.00012401i,0.0042603-0.00012401i,0.0042628-0.00012401i,0.0042652-0.00012401i,0.0042676-0.00012401i,0.0042698-0.000124i,0.0042721-0.000124i,0.0042743-0.000124i,0.0042764-0.000124i,0.0042785-0.000124i,0.0042806-0.000124i,0.0042826-0.00012399i,0.0042846-0.00012399i,0.0042865-0.00012399i,0.0042884-0.00012399i,0.0042904-0.00012399i,0.0042922-0.00012398i,0.0042941-0.00012398i,0.0042958-0.00012398i,0.0042976-0.00012398i,0.0042993-0.00012397i,0.0043011-0.00012397i,0.0043028-0.00012397i,0.0043045-0.00012397i,0.0043062-0.00012397i,0.0043078-0.00012396i,0.0043094-0.00012396i,0.004311-0.00012396i,0.0043126-0.00012396i,0.0043142-0.00012396i,0.0043157-0.00012395i,0.0043172-0.00012395i,0.0043188-0.00012395i,0.0043202-0.00012395i,0.0043217-0.00012394i,0.0043232-0.00012394i,0.0043246-0.00012394i,0.0043261-0.00012394i,0.0043275-0.00012393i
0.0042418-0.00010577i,0.004246-0.00010577i,0.00425-0.00010578i,0.0042537-0.00010579i,0.0042572-0.00010579i,0.0042605-0.00010579i,0.0042637-0.00010579i,0.0042667-0.0001058i,0.0042696-0.0001058i,0.0042724-0.0001058i,0.0042751-0.0001058i,0.0042777-0.0001058i,0.0042803-0.00010581i,0.0042828-0.00010581i,0.0042852-0.00010581i,0.0042876-0.00010581i,0.0042898-0.00010581i,0.004292-0.00010581i,0.0042943-0.00010581i,0.0042964-0.00010581i,0.0042985-0.00010581i,0.0043006-0.00010581i,0.0043026-0.00010581i,0.0043046-0.00010581i,0.0043065-0.00010581i,0.0043084-0.00010581i,0.0043103-0.00010581i,0.0043122-0.00010581i,0.004314-0.00010581i,0.0043158-0.00010581i,0.0043176-0.00010581i,0.0043193-0.00010581i,0.0043211-0.00010581i,0.0043227-0.00010581i,0.0043244-0.00010581i,0.0043261-0.00010581i,0.0043277-0.00010581i,0.0043294-0.00010581i,0.0043309-0.00010581i,0.0043325-0.00010581i,0.0043341-0.0001058i,0.0043356-0.0001058i,0.0043372-0.0001058i,0.0043387-0.0001058i,0.0043402-0.0001058i,0.0043416-0.0001058i,0.0043431-0.0001058i,0.0043446-0.0001058i,0.004346-0.0001058i,0.0043474-0.0001058i
0.0042529-0.00010688i,0.0042572-0.00010689i,0.0042612-0.00010689i,0.0042649-0.0001069i,0.0042684-0.00010691i,0.0042717-0.00010691i,0.0042749-0.00010691i,0.0042779-0.00010692i,0.0042808-0.00010692i,0.0042836-0.00010692i,0.0042863-0.00010693i,0.004289-0.00010693i,0.0042915-0.00010693i,0.004294-0.00010693i,0.0042964-0.00010693i,0.0042988-0.00010694i,0.004301-0.00010694i,0.0043033-0.00010694i,0.0043055-0.00010694i,0.0043076-0.00010694i,0.0043097-0.00010694i,0.0043118-0.00010694i,0.0043138-0.00010694i,0.0043158-0.00010694i,0.0043177-0.00010694i,0.0043196-0.00010694i,0.0043215-0.00010695i,0.0043234-0.00010695i,0.0043252-0.00010695i,0.004327-0.00010695i,0.0043288-0.00010695i,0.0043305-0.00010695i,0.0043323-0.00010695i,0.004334-0.00010695i,0.0043357-0.00010695i,0.0043373-0.00010695i,0.004339-0.00010695i,0.0043406-0.00010695i,0.0043422-0.00010695i,0.0043438-0.00010695i,0.0043453-0.00010695i,0.0043468-0.00010695i,0.0043484-0.00010695i,0.0043499-0.00010695i,0.0043514-0.00010695i,0.0043529-0.00010694i,0.0043544-0.00010695i,0.0043558-0.00010694i,0.0043572-0.00010694i,0.0043587-0.00010694i
0.0042575-0.00011818i,0.0042618-0.00011819i,0.0042657-0.0001182i,0.0042695-0.00011821i,0.004273-0.00011822i,0.0042763-0.00011822i,0.0042794-0.00011823i,0.0042825-0.00011823i,0.0042854-0.00011823i,0.0042882-0.00011824i,0.0042909-0.00011824i,0.0042935-0.00011824i,0.0042961-0.00011825i,0.0042986-0.00011825i,0.004301-0.00011825i,0.0043034-0.00011825i,0.0043056-0.00011825i,0.0043079-0.00011826i,0.0043101-0.00011826i,0.0043122-0.00011826i,0.0043143-0.00011826i,0.0043164-0.00011826i,0.0043184-0.00011826i,0.0043204-0.00011826i,0.0043223-0.00011826i,0.0043243-0.00011827i,0.0043262-0.00011827i,0.004328-0.00011827i,0.0043299-0.00011827i,0.0043316-0.00011827i,0.0043334-0.00011827i,0.0043352-0.00011827i,0.0043369-0.00011827i,0.0043386-0.00011827i,0.0043403-0.00011827i,0.004342-0.00011827i,0.0043436-0.00011827i,0.0043452-0.00011827i,0.0043468-0.00011827i,0.0043484-0.00011827i,0.00435-0.00011827i,0.0043515-0.00011827i,0.0043531-0.00011827i,0.0043546-0.00011827i,0.0043561-0.00011827i,0.0043575-0.00011827i,0.004359-0.00011827i,0.0043605-0.00011827i,0.0043619-0.00011827i,0.0043633-0.00011827i
0.0042574-0.00013786i,0.0042617-0.00013787i,0.0042657-0.00013788i,0.0042694-0.00013789i,0.0042729-0.0001379i,0.0042763-0.00013791i,0.0042794-0.00013791i,0.0042825-0.00013792i,0.0042854-0.00013792i,0.0042882-0.00013793i,0.0042909-0.00013793i,0.0042935-0.00013793i,0.0042961-0.00013794i,0.0042986-0.00013794i,0.004301-0.00013794i,0.0043034-0.00013795i,0.0043057-0.00013795i,0.0043079-0.00013795i,0.0043101-0.00013795i,0.0043123-0.00013795i,0.0043144-0.00013796i,0.0043164-0.00013796i,0.0043185-0.00013796i,0.0043205-0.00013796i,0.0043224-0.00013796i,0.0043243-0.00013796i,0.0043262-0.00013796i,0.0043281-0.00013797i,0.0043299-0.00013797i,0.0043317-0.00013797i,0.0043335-0.00013797i,0.0043353-0.00013797i,0.004337-0.00013797i,0.0043387-0.00013797i,0.0043404-0.00013797i,0.0043421-0.00013797i,0.0043437-0.00013797i,0.0043453-0.00013797i,0.0043469-0.00013797i,0.0043485-0.00013797i,0.0043501-0.00013797i,0.0043516-0.00013797i,0.0043532-0.00013797i,0.0043547-0.00013797i,0.0043562-0.00013797i,0.0043577-0.00013797i,0.0043592-0.00013797i,0.0043606-0.00013797i,0.0043621-0.00013797i,0.0043635-0.00013797i
0.004255-0.00016688i,0.0042593-0.0001669i,0.0042633-0.00016691i,0.004267-0.00016692i,0.0042706-0.00016693i,0.0042739-0.00016694i,0.0042771-0.00016695i,0.0042801-0.00016695i,0.004283-0.00016696i,0.0042858-0.00016696i,0.0042886-0.00016697i,0.0042912-0.00016697i,0.0042938-0.00016698i,0.0042963-0.00016698i,0.0042987-0.00016699i,0.0043011-0.00016699i,0.0043033-0.00016699i,0.0043056-0.000167i,0.0043078-0.000167i,0.00431-0.000167i,0.0043121-0.000167i,0.0043142-0.00016701i,0.0043162-0.00016701i,0.0043182-0.00016701i,0.0043201-0.00016701i,0.004322-0.00016701i,0.004324-0.00016702i,0.0043258-0.00016702i,0.0043277-0.00016702i,0.0043295-0.00016702i,0.0043313-0.00016702i,0.004333-0.00016702i,0.0043347-0.00016702i,0.0043364-0.00016702i,0.0043381-0.00016703i,0.0043398-0.00016703i,0.0043415-0.00016703i,0.0043431-0.00016703i,0.0043447-0.00016703i,0.0043463-0.00016703i,0.0043479-0.00016703i,0.0043494-0.00016703i,0.0043509-0.00016703i,0.0043525-0.00016703i,0.004354-0.00016703i,0.0043554-0.00016703i,0.0043569-0.00016703i,0.0043584-0.00016703i,0.0043598-0.00016703i,0.0043613-0.00016703i
0.0042505-0.00020863i,0.0042548-0.00020865i,0.0042588-0.00020866i,0.0042626-0.00020868i,0.0042661-0.00020869i,0.0042694-0.0002087i,0.0042726-0.00020871i,0.0042756-0.00020872i,0.0042786-0.00020873i,0.0042814-0.00020873i,0.0042841-0.00020874i,0.0042868-0.00020875i,0.0042894-0.00020875i,0.0042918-0.00020876i,0.0042943-0.00020876i,0.0042966-0.00020877i,0.0042989-0.00020877i,0.0043012-0.00020878i,0.0043034-0.00020878i,0.0043056-0.00020878i,0.0043077-0.00020879i,0.0043098-0.00020879i,0.0043118-0.00020879i,0.0043138-0.00020879i,0.0043157-0.0002088i,0.0043177-0.0002088i,0.0043196-0.0002088i,0.0043214-0.0002088i,0.0043233-0.00020881i,0.0043251-0.00020881i,0.0043269-0.00020881i,0.0043286-0.00020881i,0.0043304-0.00020881i,0.0043321-0.00020881i,0.0043338-0.00020882i,0.0043355-0.00020882i,0.0043371-0.00020882i,0.0043388-0.00020882i,0.0043404-0.00020882i,0.004342-0.00020882i,0.0043435-0.00020882i,0.0043451-0.00020882i,0.0043466-0.00020882i,0.0043482-0.00020882i,0.0043497-0.00020882i,0.0043511-0.00020882i,0.0043526-0.00020882i,0.0043541-0.00020882i,0.0043555-0.00020883i,0.004357-0.00020883i
0.0042422-0.00026804i,0.0042465-0.00026806i,0.0042505-0.00026808i,0.0042543-0.0002681i,0.0042578-0.00026812i,0.0042612-0.00026813i,0.0042643-0.00026814i,0.0042674-0.00026816i,0.0042703-0.00026817i,0.0042731-0.00026817i,0.0042759-0.00026818i,0.0042785-0.00026819i,0.0042811-0.0002682i,0.0042836-0.00026821i,0.004286-0.00026821i,0.0042884-0.00026822i,0.0042907-0.00026823i,0.004293-0.00026823i,0.0042952-0.00026824i,0.0042973-0.00026824i,0.0042995-0.00026825i,0.0043015-0.00026825i,0.0043036-0.00026825i,0.0043056-0.00026826i,0.0043075-0.00026826i,0.0043095-0.00026826i,0.0043114-0.00026827i,0.0043132-0.00026827i,0.0043151-0.00026827i,0.0043169-0.00026828i,0.0043187-0.00026828i,0.0043205-0.00026828i,0.0043222-0.00026828i,0.0043239-0.00026829i,0.0043256-0.00026829i,0.0043273-0.00026829i,0.004329-0.00026829i,0.0043306-0.00026829i,0.0043322-0.00026829i,0.0043338-0.00026829i,0.0043354-0.0002683i,0.0043369-0.0002683i,0.0043385-0.0002683i,0.00434-0.0002683i,0.0043415-0.0002683i,0.004343-0.0002683i,0.0043445-0.0002683i,0.0043459-0.0002683i,0.0043474-0.0002683i,0.0043488-0.0002683i
0.004227-0.00035267i,0.0042314-0.0003527i,0.0042354-0.00035272i,0.0042391-0.00035274i,0.0042426-0.00035276i,0.004246-0.00035278i,0.0042492-0.0003528i,0.0042522-0.00035281i,0.0042552-0.00035283i,0.004258-0.00035284i,0.0042607-0.00035285i,0.0042634-0.00035286i,0.004266-0.00035287i,0.0042684-0.00035288i,0.0042709-0.00035289i,0.0042732-0.0003529i,0.0042756-0.0003529i,0.0042778-0.00035291i,0.00428-0.00035292i,0.0042822-0.00035292i,0.0042843-0.00035293i,0.0042864-0.00035294i,0.0042884-0.00035294i,0.0042904-0.00035295i,0.0042924-0.00035295i,0.0042943-0.00035296i,0.0042962-0.00035296i,0.0042981-0.00035296i,0.0043-0.00035297i,0.0043018-0.00035297i,0.0043036-0.00035297i,0.0043053-0.00035298i,0.0043071-0.00035298i,0.0043088-0.00035298i,0.0043105-0.00035298i,0.0043122-0.00035299i,0.0043138-0.00035299i,0.0043154-0.00035299i,0.0043171-0.00035299i,0.0043187-0.00035299i,0.0043202-0.000353i,0.0043218-0.000353i,0.0043233-0.000353i,0.0043249-0.000353i,0.0043264-0.000353i,0.0043279-0.000353i,0.0043293-0.000353i,0.0043308-0.000353i,0.0043323-0.000353i,0.0043337-0.000353i
