9124,0.027876
9124,0.027876
18587,0.035496
28051,0.042581
37517,0.049238
46984,0.055535
56452,0.061526
65918,0.067247
75385,0.072738
84853,0.078024
94322,0.083127
1.0379e+05,0.088065
1.1326e+05,0.092855
1.2273e+05,0.09751
1.322e+05,0.10204
1.4167e+05,0.10645
1.5115e+05,0.11076
1.6062e+05,0.11496
1.7009e+05,0.11908
1.7957e+05,0.12311
1.8904e+05,0.12705
1.9851e+05,0.13092
2.0799e+05,0.13472
2.1746e+05,0.13845
2.2694e+05,0.14212
2.3642e+05,0.14572
2.4589e+05,0.14926
2.5537e+05,0.15275
2.6485e+05,0.15619
2.7433e+05,0.15958
2.8381e+05,0.16292
2.9329e+05,0.16621
3.0277e+05,0.16946
3.1225e+05,0.17266
3.2172e+05,0.17583
3.312e+05,0.17895
3.4069e+05,0.18204
3.5017e+05,0.18509
3.5965e+05,0.18811
3.6914e+05,0.19109
3.7862e+05,0.19404
3.881e+05,0.19696
3.9758e+05,0.19984
4.0707e+05,0.2027
4.1656e+05,0.20553
4.2604e+05,0.20833
4.3553e+05,0.2111
4.4501e+05,0.21385
4.545e+05,0.21657
4.6398e+05,0.21926
4.7347e+05,0.22193
