9124,99.975
9124,99.975
18586,99.97
28049,99.965
37513,99.959
46976,99.954
56440,99.949
65907,99.943
75372,99.938
84838,99.933
94305,99.928
1.0377e+05,99.922
1.1324e+05,99.917
1.2271e+05,99.912
1.3218e+05,99.906
1.4165e+05,99.901
1.5112e+05,99.896
1.6059e+05,99.891
1.7007e+05,99.885
1.7954e+05,99.88
1.8901e+05,99.875
1.9848e+05,99.869
2.0796e+05,99.864
2.1744e+05,99.859
2.2691e+05,99.854
2.3638e+05,99.848
2.4586e+05,99.843
2.5534e+05,99.838
2.6482e+05,99.832
2.743e+05,99.827
2.8377e+05,99.822
2.9325e+05,99.816
3.0273e+05,99.811
3.1222e+05,99.806
3.217e+05,99.801
3.3118e+05,99.795
3.4066e+05,99.79
3.5015e+05,99.785
3.5963e+05,99.779
3.6912e+05,99.774
3.786e+05,99.769
3.8809e+05,99.763
3.9758e+05,99.758
4.0706e+05,99.753
4.1655e+05,99.748
4.2604e+05,99.742
4.3553e+05,99.737
4.4502e+05,99.732
4.5451e+05,99.726
4.64e+05,99.721
4.7349e+05,99.716
