9124,0.024855
9124,0.024855
18586,0.030137
28049,0.03542
37513,0.040703
46976,0.045986
56440,0.051271
65907,0.056559
75372,0.061843
84838,0.067129
94305,0.072414
1.0377e+05,0.077701
1.1324e+05,0.082991
1.2271e+05,0.088278
1.3218e+05,0.093565
1.4165e+05,0.098853
1.5112e+05,0.10414
1.6059e+05,0.10943
1.7007e+05,0.11473
1.7954e+05,0.12002
1.8901e+05,0.12531
1.9848e+05,0.1306
2.0796e+05,0.13589
2.1744e+05,0.14119
2.2691e+05,0.14648
2.3638e+05,0.15177
2.4586e+05,0.15706
2.5534e+05,0.16236
2.6482e+05,0.16765
2.743e+05,0.17295
2.8377e+05,0.17824
2.9325e+05,0.18354
3.0273e+05,0.18883
3.1222e+05,0.19413
3.217e+05,0.19943
3.3118e+05,0.20473
3.4066e+05,0.21003
3.5015e+05,0.21533
3.5963e+05,0.22064
3.6912e+05,0.22594
3.786e+05,0.23124
3.8809e+05,0.23654
3.9758e+05,0.24184
4.0706e+05,0.24714
4.1655e+05,0.25245
4.2604e+05,0.25775
4.3553e+05,0.26305
4.4502e+05,0.26836
4.5451e+05,0.27366
4.64e+05,0.27897
4.7349e+05,0.28428
