0.0042028-0.0001805i,0.0042058-0.0001805i,0.0042087-0.0001805i,0.0042116-0.00018049i,0.0042145-0.00018049i,0.0042175-0.00018049i,0.0042204-0.00018048i,0.0042233-0.00018048i,0.0042263-0.00018047i,0.0042292-0.00018047i,0.0042321-0.00018047i,0.0042351-0.00018046i,0.004238-0.00018046i,0.0042409-0.00018046i,0.0042438-0.00018045i,0.0042468-0.00018045i,0.0042497-0.00018045i,0.0042527-0.00018044i,0.0042556-0.00018044i,0.0042585-0.00018044i,0.0042614-0.00018043i,0.0042644-0.00018043i,0.0042674-0.00018043i,0.0042702-0.00018042i,0.0042732-0.00018042i,0.0042761-0.00018042i,0.0042791-0.00018041i,0.004282-0.00018041i,0.0042849-0.00018041i,0.0042879-0.00018041i,0.0042908-0.0001804i,0.0042938-0.0001804i,0.0042967-0.0001804i,0.0042997-0.00018039i,0.0043026-0.00018039i,0.0043055-0.00018039i,0.0043085-0.00018038i,0.0043114-0.00018038i,0.0043144-0.00018038i,0.0043173-0.00018038i,0.0043203-0.00018037i,0.0043232-0.00018037i,0.0043262-0.00018037i,0.0043291-0.00018036i,0.004332-0.00018036i,0.004335-0.00018036i,0.0043379-0.00018036i,0.0043409-0.00018035i,0.0043438-0.00018035i,0.0043468-0.00018035i
0.0042202-0.00012402i,0.0042231-0.00012402i,0.0042261-0.00012403i,0.004229-0.00012403i,0.0042319-0.00012403i,0.0042348-0.00012404i,0.0042378-0.00012404i,0.0042407-0.00012405i,0.0042436-0.00012405i,0.0042465-0.00012406i,0.0042494-0.00012406i,0.0042524-0.00012407i,0.0042553-0.00012407i,0.0042582-0.00012407i,0.0042612-0.00012408i,0.0042641-0.00012408i,0.004267-0.00012409i,0.00427-0.00012409i,0.0042729-0.00012409i,0.0042758-0.0001241i,0.0042787-0.0001241i,0.0042817-0.00012411i,0.0042846-0.00012411i,0.0042875-0.00012412i,0.0042904-0.00012412i,0.0042934-0.00012413i,0.0042963-0.00012413i,0.0042993-0.00012414i,0.0043022-0.00012414i,0.0043051-0.00012414i,0.004308-0.00012415i,0.004311-0.00012415i,0.0043139-0.00012416i,0.0043169-0.00012416i,0.0043198-0.00012417i,0.0043228-0.00012417i,0.0043257-0.00012418i,0.0043286-0.00012418i,0.0043316-0.00012418i,0.0043345-0.00012419i,0.0043374-0.00012419i,0.0043404-0.0001242i,0.0043433-0.0001242i,0.0043463-0.00012421i,0.0043492-0.00012421i,0.0043521-0.00012422i,0.0043551-0.00012422i,0.004358-0.00012423i,0.004361-0.00012423i,0.0043639-0.00012424i
0.0042402-0.00010577i,0.0042432-0.00010578i,0.0042461-0.00010579i,0.004249-0.0001058i,0.0042519-0.0001058i,0.0042548-0.00010581i,0.0042578-0.00010582i,0.0042607-0.00010582i,0.0042636-0.00010583i,0.0042665-0.00010584i,0.0042695-0.00010585i,0.0042724-0.00010585i,0.0042753-0.00010586i,0.0042782-0.00010587i,0.0042811-0.00010588i,0.0042841-0.00010588i,0.004287-0.00010589i,0.00429-0.0001059i,0.0042928-0.0001059i,0.0042958-0.00010591i,0.0042987-0.00010592i,0.0043017-0.00010593i,0.0043046-0.00010594i,0.0043075-0.00010594i,0.0043104-0.00010595i,0.0043133-0.00010596i,0.0043163-0.00010596i,0.0043192-0.00010597i,0.0043221-0.00010598i,0.0043251-0.00010599i,0.004328-0.00010599i,0.004331-0.000106i,0.0043339-0.00010601i,0.0043368-0.00010602i,0.0043398-0.00010602i,0.0043427-0.00010603i,0.0043456-0.00010604i,0.0043486-0.00010605i,0.0043515-0.00010605i,0.0043544-0.00010606i,0.0043574-0.00010607i,0.0043603-0.00010608i,0.0043632-0.00010608i,0.0043662-0.00010609i,0.0043691-0.0001061i,0.0043721-0.0001061i,0.004375-0.00010611i,0.0043779-0.00010612i,0.0043809-0.00010613i,0.0043838-0.00010613i
0.0042514-0.00010688i,0.0042543-0.00010689i,0.0042573-0.0001069i,0.0042602-0.00010691i,0.0042631-0.00010692i,0.004266-0.00010693i,0.004269-0.00010694i,0.0042719-0.00010694i,0.0042748-0.00010695i,0.0042777-0.00010696i,0.0042807-0.00010697i,0.0042836-0.00010698i,0.0042865-0.00010699i,0.0042894-0.000107i,0.0042923-0.000107i,0.0042953-0.00010701i,0.0042982-0.00010702i,0.0043012-0.00010703i,0.0043041-0.00010704i,0.004307-0.00010705i,0.0043099-0.00010706i,0.0043129-0.00010707i,0.0043158-0.00010708i,0.0043187-0.00010708i,0.0043216-0.00010709i,0.0043246-0.0001071i,0.0043275-0.00010711i,0.0043305-0.00010712i,0.0043334-0.00010713i,0.0043363-0.00010713i,0.0043392-0.00010714i,0.0043422-0.00010715i,0.0043451-0.00010716i,0.0043481-0.00010717i,0.004351-0.00010718i,0.0043539-0.00010719i,0.0043569-0.0001072i,0.0043598-0.00010721i,0.0043627-0.00010721i,0.0043656-0.00010722i,0.0043686-0.00010723i,0.0043715-0.00010724i,0.0043745-0.00010725i,0.0043774-0.00010726i,0.0043804-0.00010727i,0.0043833-0.00010728i,0.0043862-0.00010728i,0.0043892-0.00010729i,0.0043921-0.0001073i,0.0043951-0.00010731i
0.004256-0.00011819i,0.0042589-0.0001182i,0.0042618-0.00011821i,0.0042647-0.00011822i,0.0042677-0.00011823i,0.0042706-0.00011824i,0.0042735-0.00011825i,0.0042764-0.00011825i,0.0042794-0.00011826i,0.0042823-0.00011827i,0.0042852-0.00011828i,0.0042882-0.00011829i,0.0042911-0.0001183i,0.004294-0.00011831i,0.0042969-0.00011832i,0.0042999-0.00011833i,0.0043028-0.00011834i,0.0043058-0.00011835i,0.0043087-0.00011836i,0.0043116-0.00011837i,0.0043145-0.00011838i,0.0043175-0.00011839i,0.0043204-0.0001184i,0.0043233-0.00011841i,0.0043263-0.00011842i,0.0043292-0.00011843i,0.0043321-0.00011844i,0.0043351-0.00011845i,0.004338-0.00011846i,0.0043409-0.00011847i,0.0043439-0.00011848i,0.0043468-0.00011849i,0.0043498-0.0001185i,0.0043527-0.00011851i,0.0043556-0.00011852i,0.0043586-0.00011852i,0.0043615-0.00011853i,0.0043645-0.00011854i,0.0043674-0.00011855i,0.0043703-0.00011856i,0.0043733-0.00011857i,0.0043762-0.00011858i,0.0043792-0.00011859i,0.0043821-0.0001186i,0.004385-0.00011861i,0.004388-0.00011862i,0.0043909-0.00011863i,0.0043939-0.00011864i,0.0043968-0.00011865i,0.0043998-0.00011866i
0.0042559-0.00013786i,0.0042588-0.00013787i,0.0042618-0.00013788i,0.0042647-0.0001379i,0.0042676-0.00013791i,0.0042706-0.00013792i,0.0042735-0.00013793i,0.0042764-0.00013794i,0.0042793-0.00013795i,0.0042823-0.00013796i,0.0042852-0.00013797i,0.0042882-0.00013798i,0.0042911-0.00013799i,0.004294-0.000138i,0.0042969-0.00013801i,0.0042999-0.00013802i,0.0043028-0.00013803i,0.0043058-0.00013804i,0.0043087-0.00013805i,0.0043116-0.00013806i,0.0043146-0.00013808i,0.0043175-0.00013809i,0.0043205-0.0001381i,0.0043234-0.00013811i,0.0043263-0.00013812i,0.0043293-0.00013813i,0.0043322-0.00013814i,0.0043352-0.00013815i,0.0043381-0.00013816i,0.004341-0.00013817i,0.004344-0.00013818i,0.0043469-0.00013819i,0.0043499-0.0001382i,0.0043528-0.00013821i,0.0043557-0.00013823i,0.0043587-0.00013824i,0.0043616-0.00013825i,0.0043646-0.00013826i,0.0043675-0.00013827i,0.0043705-0.00013828i,0.0043734-0.00013829i,0.0043764-0.0001383i,0.0043793-0.00013831i,0.0043823-0.00013832i,0.0043852-0.00013833i,0.0043882-0.00013834i,0.0043911-0.00013835i,0.0043941-0.00013836i,0.004397-0.00013838i,0.0043999-0.00013839i
0.0042535-0.00016688i,0.0042564-0.0001669i,0.0042594-0.00016691i,0.0042623-0.00016692i,0.0042652-0.00016693i,0.0042682-0.00016694i,0.0042711-0.00016696i,0.004274-0.00016697i,0.004277-0.00016698i,0.0042799-0.00016699i,0.0042829-0.000167i,0.0042858-0.00016702i,0.0042887-0.00016703i,0.0042917-0.00016704i,0.0042946-0.00016705i,0.0042976-0.00016706i,0.0043005-0.00016708i,0.0043035-0.00016709i,0.0043064-0.0001671i,0.0043093-0.00016711i,0.0043123-0.00016712i,0.0043152-0.00016714i,0.0043182-0.00016715i,0.0043211-0.00016716i,0.004324-0.00016717i,0.004327-0.00016718i,0.0043299-0.0001672i,0.0043329-0.00016721i,0.0043358-0.00016722i,0.0043388-0.00016723i,0.0043417-0.00016725i,0.0043447-0.00016726i,0.0043476-0.00016727i,0.0043506-0.00016728i,0.0043535-0.00016729i,0.0043565-0.00016731i,0.0043594-0.00016732i,0.0043624-0.00016733i,0.0043653-0.00016734i,0.0043682-0.00016735i,0.0043712-0.00016737i,0.0043742-0.00016738i,0.0043771-0.00016739i,0.0043801-0.0001674i,0.004383-0.00016742i,0.004386-0.00016743i,0.0043889-0.00016744i,0.0043919-0.00016745i,0.0043948-0.00016746i,0.0043978-0.00016748i
0.004249-0.00020863i,0.0042519-0.00020865i,0.0042549-0.00020866i,0.0042578-0.00020867i,0.0042608-0.00020869i,0.0042637-0.0002087i,0.0042667-0.00020871i,0.0042696-0.00020873i,0.0042725-0.00020874i,0.0042755-0.00020876i,0.0042784-0.00020877i,0.0042814-0.00020878i,0.0042843-0.0002088i,0.0042872-0.00020881i,0.0042902-0.00020882i,0.0042931-0.00020884i,0.0042961-0.00020885i,0.004299-0.00020886i,0.004302-0.00020888i,0.0043049-0.00020889i,0.0043079-0.00020891i,0.0043108-0.00020892i,0.0043138-0.00020893i,0.0043167-0.00020895i,0.0043197-0.00020896i,0.0043226-0.00020898i,0.0043256-0.00020899i,0.0043285-0.000209i,0.0043315-0.00020902i,0.0043344-0.00020903i,0.0043374-0.00020904i,0.0043403-0.00020906i,0.0043433-0.00020907i,0.0043462-0.00020909i,0.0043492-0.0002091i,0.0043521-0.00020911i,0.0043551-0.00020913i,0.004358-0.00020914i,0.004361-0.00020916i,0.0043639-0.00020917i,0.0043669-0.00020918i,0.0043699-0.0002092i,0.0043728-0.00020921i,0.0043758-0.00020922i,0.0043787-0.00020924i,0.0043817-0.00020925i,0.0043847-0.00020927i,0.0043876-0.00020928i,0.0043906-0.00020929i,0.0043935-0.00020931i
0.0042407-0.00026804i,0.0042436-0.00026806i,0.0042466-0.00026807i,0.0042495-0.00026809i,0.0042525-0.00026811i,0.0042554-0.00026812i,0.0042584-0.00026814i,0.0042613-0.00026815i,0.0042643-0.00026817i,0.0042672-0.00026819i,0.0042702-0.0002682i,0.0042731-0.00026822i,0.004276-0.00026824i,0.004279-0.00026825i,0.0042819-0.00026827i,0.0042849-0.00026828i,0.0042879-0.0002683i,0.0042908-0.00026832i,0.0042937-0.00026833i,0.0042967-0.00026835i,0.0042996-0.00026837i,0.0043026-0.00026838i,0.0043056-0.0002684i,0.0043085-0.00026841i,0.0043115-0.00026843i,0.0043144-0.00026845i,0.0043174-0.00026846i,0.0043203-0.00026848i,0.0043233-0.0002685i,0.0043262-0.00026851i,0.0043292-0.00026853i,0.0043321-0.00026854i,0.0043351-0.00026856i,0.0043381-0.00026858i,0.004341-0.00026859i,0.004344-0.00026861i,0.0043469-0.00026863i,0.0043499-0.00026864i,0.0043529-0.00026866i,0.0043558-0.00026868i,0.0043588-0.00026869i,0.0043617-0.00026871i,0.0043647-0.00026873i,0.0043677-0.00026874i,0.0043706-0.00026876i,0.0043736-0.00026878i,0.0043765-0.00026879i,0.0043795-0.00026881i,0.0043825-0.00026882i,0.0043854-0.00026884i
0.0042255-0.00035266i,0.0042285-0.00035268i,0.0042314-0.0003527i,0.0042344-0.00035272i,0.0042373-0.00035274i,0.0042403-0.00035276i,0.0042432-0.00035278i,0.0042461-0.0003528i,0.0042491-0.00035282i,0.004252-0.00035284i,0.004255-0.00035286i,0.004258-0.00035287i,0.0042609-0.0003529i,0.0042638-0.00035291i,0.0042668-0.00035293i,0.0042697-0.00035295i,0.0042727-0.00035297i,0.0042757-0.00035299i,0.0042786-0.00035301i,0.0042815-0.00035303i,0.0042845-0.00035305i,0.0042875-0.00035307i,0.0042904-0.00035309i,0.0042934-0.00035311i,0.0042963-0.00035313i,0.0042993-0.00035315i,0.0043022-0.00035317i,0.0043052-0.00035319i,0.0043081-0.00035321i,0.0043111-0.00035323i,0.004314-0.00035325i,0.004317-0.00035326i,0.00432-0.00035328i,0.0043229-0.0003533i,0.0043259-0.00035332i,0.0043288-0.00035334i,0.0043318-0.00035336i,0.0043348-0.00035338i,0.0043377-0.0003534i,0.0043407-0.00035342i,0.0043436-0.00035344i,0.0043466-0.00035346i,0.0043496-0.00035348i,0.0043525-0.0003535i,0.0043555-0.00035352i,0.0043584-0.00035354i,0.0043614-0.00035356i,0.0043644-0.00035358i,0.0043673-0.0003536i,0.0043703-0.00035362i
